FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_R2_Std,CV_MSE,CV_MSE_Std,CV_MAE,CV_MAE_Std,Test_R2,Test_MSE,Test_MAE,R2_Rank
RF_XGB,XGB,2,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6217214858969122,0.09480035834117963,7196.810167369078,1031.8460443293413,62.205460067656624,5.182302084896649,0.7251125387331854,5811.975330949462,59.98382599917457,40.0
RF,XGB,2,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6217214858969122,0.09480035834117963,7196.810167369078,1031.8460443293413,62.205460067656624,5.182302084896649,0.7251125387331854,5811.975330949462,59.98382599917457,40.0
XGB,XGB,2,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6217214858969122,0.09480035834117963,7196.810167369078,1031.8460443293413,62.205460067656624,5.182302084896649,0.7251125387331854,5811.975330949462,59.98382599917457,40.0
XGB,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6992765663894518,0.10845756322642149,5716.3079857669245,1633.5448279119366,56.82712704477149,9.052963605373753,0.7245701880842734,5823.442309391016,53.37881433951725,44.0
RF_XGB,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6992765663894518,0.10845756322642149,5716.3079857669245,1633.5448279119366,56.82712704477149,9.052963605373753,0.7245701880842734,5823.442309391016,53.37881433951725,44.0
RF,XGB,8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.7036039765138697,0.08120802562797842,5690.407784326569,1221.3870987748928,57.2130859925741,6.542190306479374,0.7034269262252038,6270.47658215998,58.92087743121555,46.0
XGB,XGB,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.3627192702649757,0.18259058960227265,12235.94656878503,2690.268826370254,82.21134842224821,9.390188871743177,0.5682356881376667,9128.839554062244,74.32132805761913,47.0
RFE_RF,XGB,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.3627192702649757,0.18259058960227265,12235.94656878503,2690.268826370254,82.21134842224821,9.390188871743177,0.5682356881376667,9128.839554062244,74.32132805761913,47.0
RF_XGB,XGB,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.3627192702649757,0.18259058960227265,12235.94656878503,2690.268826370254,82.21134842224821,9.390188871743177,0.5682356881376667,9128.839554062244,74.32132805761913,47.0
RF,XGB,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.3627192702649757,0.18259058960227265,12235.94656878503,2690.268826370254,82.21134842224821,9.390188871743177,0.5682356881376667,9128.839554062244,74.32132805761913,47.0
RF_XGB,RF,1,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200, 'random_state': 42}",0.39172418267797454,0.17777479841287774,11598.391172332438,2394.685224627853,80.96646732417452,8.861957366651698,0.5396200566525085,9733.862946198167,76.62460336575656,51.0
XGB,RF,1,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200, 'random_state': 42}",0.39172418267797454,0.17777479841287774,11598.391172332438,2394.685224627853,80.96646732417452,8.861957366651698,0.5396200566525085,9733.862946198167,76.62460336575656,51.0
RFE_RF,RF,1,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200, 'random_state': 42}",0.39172418267797454,0.17777479841287774,11598.391172332438,2394.685224627853,80.96646732417452,8.861957366651698,0.5396200566525085,9733.862946198167,76.62460336575656,51.0
RF,RF,1,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200, 'random_state': 42}",0.39172418267797454,0.17777479841287774,11598.391172332438,2394.685224627853,80.96646732417452,8.861957366651698,0.5396200566525085,9733.862946198167,76.62460336575656,51.0
