FS_Method,Model,Features_Used,Fold,R2,MSE,MAE
RFE_RF,RF,32,5,0.7128002365538129,9595.873752784526,66.5602729374318
RFE_RF,RF,32,6,0.6398870730459099,4171.362785129414,53.77317004526367
RFE_RF,RF,32,7,0.7905989854647424,8665.575833957477,71.79821746013182
RFE_RF,RF,32,8,0.6451455283858128,3017.2323308879377,44.453204318068174
RFE_RF,RF,32,9,0.6966229041125176,14930.362826633807,83.54049585453176
RFE_RF,RF,32,10,0.6815304112951315,6890.513573201201,55.43632010592273
RFE_RF,XGB,5,1,0.7941531045304722,7402.932015076995,68.05217902429348
RFE_RF,XGB,5,2,0.12183260527213302,6436.692684439883,59.48608320116083
RFE_RF,XGB,5,3,0.5730979614141862,11844.186204366437,81.24822535061907
RFE_RF,XGB,5,4,0.7726151441981015,8304.502361783521,72.76556134476478
RFE_RF,XGB,5,5,0.7335782573654344,8901.641758479947,70.84778901188498
RFE_RF,XGB,5,6,0.5498878235042205,5213.867766561639,64.1369056641202
RFE_RF,XGB,5,7,0.6571809689230712,14186.771337828255,91.36511273416191
RFE_RF,XGB,5,8,0.5780736436977962,3587.526564616231,45.758703140887334
RFE_RF,XGB,5,9,0.6314430063279569,18138.118244291716,92.81675187403508
RFE_RF,XGB,5,10,0.6102484451698411,8432.793817629676,69.38273626214756
RFE_RF,XGB,10,1,0.8196846405906426,6484.733927790768,64.37623669495414
RFE_RF,XGB,10,2,0.25156649387908303,5485.783806777591,57.06058311216416
RFE_RF,XGB,10,3,0.6657049039733045,9274.852323645744,77.07711211918225
RFE_RF,XGB,10,4,0.7066377962858446,10714.113325668022,74.98465455509405
RFE_RF,XGB,10,5,0.6836451120301569,10570.000231228283,79.5952841353182
RFE_RF,XGB,10,6,0.5843830107504687,4814.293273187745,58.487519034699055
RFE_RF,XGB,10,7,0.7492360498308192,10377.285093085791,80.24245532824484
RFE_RF,XGB,10,8,0.5479629632227594,3843.549599132461,46.30844687857511
RFE_RF,XGB,10,9,0.6294635055702077,18235.537149441214,93.21122612904384
RFE_RF,XGB,10,10,0.4975462281942936,10871.25633757705,69.6822607569487
RFE_RF,XGB,15,1,0.8290906552478139,6146.46267584388,59.7124169071739
RFE_RF,XGB,15,2,0.30153368561903393,5119.539899903534,53.21595447596021
RFE_RF,XGB,15,3,0.7594636461380345,6673.562331766217,62.30416728678584
RFE_RF,XGB,15,4,0.6719115798294364,11982.376973046948,69.94431239137019
RFE_RF,XGB,15,5,0.6906551921649875,10335.78052587904,73.48136403138726
RFE_RF,XGB,15,6,0.5767871730006964,4902.279547880186,56.869357945021754
RFE_RF,XGB,15,7,0.7252531441421592,11369.762080004783,82.72836973152076
RFE_RF,XGB,15,8,0.5751955389015684,3611.9983172289576,46.42094479481712
RFE_RF,XGB,15,9,0.6023200424464656,19571.372182152878,91.67910607957651
RFE_RF,XGB,15,10,0.5397889563792093,9957.278669847672,66.40402877341708
RFE_RF,XGB,20,1,0.8489919941666507,5430.74501253346,55.66559108636888
RFE_RF,XGB,20,2,0.2900442530716586,5203.753851446308,51.48815166107931
RFE_RF,XGB,20,3,0.7669503951437262,6465.8461784713845,60.845017123375094
RFE_RF,XGB,20,4,0.6803698819487916,11673.464624073018,68.5968574067404
RFE_RF,XGB,20,5,0.7155764948202679,9503.113844105079,68.92365401741432
RFE_RF,XGB,20,6,0.605233326875197,4572.773943469367,56.81906529734553
RFE_RF,XGB,20,7,0.7260197602165587,11338.037449906966,82.997826052033
RFE_RF,XGB,20,8,0.4613006561247268,4580.415936637193,49.832616003184484
RFE_RF,XGB,20,9,0.5390312660054987,22686.05818820459,97.88330451739279
RFE_RF,XGB,20,10,0.6263027579897757,8085.437384495669,60.40086705169389
RFE_RF,XGB,25,1,0.8536387237148229,5263.633320811788,59.25860794038554
RFE_RF,XGB,25,2,0.16295608580975784,6135.2704181107365,49.80609686109099
RFE_RF,XGB,25,3,0.7047464104338936,8191.665010345431,65.23575984514606
RFE_RF,XGB,25,4,0.7006366318396579,10933.286604121657,66.93302186646144
RFE_RF,XGB,25,5,0.6765234817392476,10807.94703301378,74.51420215470792
RFE_RF,XGB,25,6,0.6111615885596042,4504.104011567706,52.9462937639937
RFE_RF,XGB,25,7,0.7566536186314186,10070.326193732566,74.93233600528674
RFE_RF,XGB,25,8,0.575179387677617,3612.135646751305,47.842360253768646
RFE_RF,XGB,25,9,0.5534173596641923,21978.062756466745,96.82435397481134
RFE_RF,XGB,25,10,0.6395591187733829,7798.618368959005,54.232957446731184
RFE_RF,XGB,30,1,0.8561317251246932,5173.976783079387,60.78555230816746
RFE_RF,XGB,30,2,0.2683685958929055,5362.629647599207,45.582251090931344
RFE_RF,XGB,30,3,0.7356633878055923,7333.888743734863,61.84486211420432
RFE_RF,XGB,30,4,0.7113217649767004,10543.046396348765,65.52686686978709
RFE_RF,XGB,30,5,0.6968016877491074,10130.414772998423,79.21950240690964
RFE_RF,XGB,30,6,0.6314854971803459,4268.682315418096,51.95827481854359
RFE_RF,XGB,30,7,0.6792921967656329,13271.749402156742,82.23900610749288
RFE_RF,XGB,30,8,0.5181934783964111,4096.671538623176,49.48039047245206
RFE_RF,XGB,30,9,0.5483922880514103,22225.36600851079,98.77369891518887
RFE_RF,XGB,30,10,0.5856794905275979,8964.375863281855,61.15993550296343
RFE_RF,XGB,31,1,0.8604828469947071,5017.49611661339,58.89020757422554
RFE_RF,XGB,31,2,0.3002984300294348,5128.593937510396,47.52320183260721
RFE_RF,XGB,31,3,0.7410585099400284,7184.203744883034,62.11050338763034
RFE_RF,XGB,31,4,0.6957124348693088,11113.127100648731,65.98809325615554
RFE_RF,XGB,31,5,0.6942082511121259,10217.066273876082,74.18598439598989
RFE_RF,XGB,31,6,0.6179710744733931,4425.226431784899,53.98169211839933
RFE_RF,XGB,31,7,0.7213652709131422,11530.652705934332,77.55669723456141
RFE_RF,XGB,31,8,0.5787168168612318,3582.0578358321477,45.919904285817644
RFE_RF,XGB,31,9,0.5507284161767754,22110.396088256366,99.74155140737413
RFE_RF,XGB,31,10,0.6254685499589705,8103.486585935951,57.23319055451261
XGB,RF,5,1,0.8213237356183083,6425.786674647197,59.38682730596959
XGB,RF,5,2,0.19598164629322834,5893.20337617808,53.11654632377387
XGB,RF,5,3,0.7501530287671592,6931.880812004836,65.63847917228263
XGB,RF,5,4,0.824106749330146,6423.936679768042,62.074055032939135
XGB,RF,5,5,0.7068306459402453,9795.328784349464,76.65921362384545
XGB,RF,5,6,0.6519047317526592,4032.1564125125497,55.30317080639548
XGB,RF,5,7,0.7579138469439656,10018.174564788873,77.45250024991819
XGB,RF,5,8,0.5211037716754987,4071.926095979928,47.621623937681846
XGB,RF,5,9,0.6566897721584558,16895.627037281774,88.91313994721355
XGB,RF,5,10,0.6391878179773414,7806.651956044254,65.83010451210906
XGB,RF,10,1,0.8459272979479356,5540.96157762793,53.33461273945651
XGB,RF,10,2,0.15280797534779222,6209.652897765044,53.46156039406954
XGB,RF,10,3,0.760296306843204,6650.4605717705135,69.95158328495653
XGB,RF,10,4,0.8431586173770076,5728.128321583496,58.533185469208696
XGB,RF,10,5,0.7348533615768034,8859.038175220963,69.2191714570909
XGB,RF,10,6,0.6257233116879959,4335.428506195261,55.27360443958635
XGB,RF,10,7,0.7883160648234747,8760.049215491552,72.48035287141818
XGB,RF,10,8,0.5670189413192289,3681.5217319118024,48.69775848951363
XGB,RF,10,9,0.6738407734173169,16051.559785316844,86.39912418430002
XGB,RF,10,10,0.6974674375740854,6545.694790540722,53.89463991590002
XGB,RF,15,1,0.8115436566520579,6777.510510579202,59.059430394243485
XGB,RF,15,2,0.18449229164615943,5977.416756735943,51.46958867163909
XGB,RF,15,3,0.7734457801157761,6285.634930633694,65.99712758623919
XGB,RF,15,4,0.8309260896911943,6174.882150897094,57.03535514416522
XGB,RF,15,5,0.725960542296094,9156.16366759625,67.10986652395002
XGB,RF,15,6,0.6303092656415827,4282.307176122187,54.10291339262275
XGB,RF,15,7,0.8024831459338251,8173.777386866305,69.21232949510454
XGB,RF,15,8,0.6172373873878673,3254.5277633815494,45.7664520034909
XGB,RF,15,9,0.6758627394793462,15952.050997941433,85.90602158178636
XGB,RF,15,10,0.6832272376999996,6853.8004747177365,56.72682748867273
XGB,RF,20,1,0.8239803197228402,6330.2471646957565,57.57792158526957
XGB,RF,20,2,0.25804500117157936,5438.298372057457,50.19396576052604
XGB,RF,20,3,0.7875629891433966,5893.9599389587875,63.53365275161739
XGB,RF,20,4,0.828483460394296,6264.091349519916,57.67333392116084
XGB,RF,20,5,0.7150952832837962,9519.192008992673,67.12287521766365
XGB,RF,20,6,0.6460613656084471,4099.842958174818,53.53216833629092
